	677
disaster	4
fair	24
Heres	3
result	8
fail	3
John	7
best	41
ambitions	1
preserve	3
discipline	2
never	33
nationwide	1
nature	1
rolled	2
affiliates	5
carbon	7
debt	26
tyranny	2
accident	1
sacrificing	1
country	114
demanded	1
Godgiven	1
argue	5
asked	11
eradicate	2
irresponsible	2
pregnancy	1
source	6
union	7
much	20
privilege	1
life	26
crying	1
Tokyo	1
worker	10
facetoface	1
lift	6
child	24
worked	22
commerce	4
presidency	3
FixItFirst	1
Both	3
taunts	1
trusted	1
damaged	1
Valley	1
things	26
democracies	1
harmony	1
principals	2
fairly	1
marches	1
Maybe	1
workforce	12
graduations	1
pioneers	1
corporate	6
opinions	3
spurred	1
Thank	12
Russians	1
Offer	1
had	36
advancement	1
Leonard	1
easy	16
prison	5
has	165
survival	1
disagreement	1
possible	23
gridlock	1
birth	2
shadow	3
unique	2
desire	1
Steves	1
remind	2
pavement	1
steps	20
Pentagon	2
Warren	1
battlefield	2
attorney	1
right	96
old	14
crowd	2
people	190
creed	3
System	2
Between	1
enemies	7
for	511
bottom	3
creative	1
contributing	1
continue	29
Facebook	1
TySheoma	1
Hawaii	1
shifting	1
losing	2
manufacturing	21
Think	4
shaken	1
First	9
offramp	1
dollars	20
citizens	29
slightly	1
raised	3
facility	1
son	8
beings	1
magazines	1
raises	1
Korean	2
reducing	6
support	51
ISIL	9
launching	5
offer	9
talents	2
safeguard	1
humbled	1
whove	8
devices	1
panels	2
adopt	1
liberal	4
centrifuges	1
Six	1
proven	3
proves	1
exist	3
negotiations	6
Coburn	1
role	5
protester	1
ambitious	3
transgender	1
roll	2
intend	12
invested	2
rolling	2
reorganization	1
time	120
push	4
childs	2
Buffett	2
theaters	1
Indiana	1
chair	2
nonproliferation	1
selfgovernment	2
Believe	1
oversight	1
paychecks	6
Scranton	1
refinance	3
choice	9
stays	2
launchers	2
tear	1
Tax	2
leave	15
solved	1
settle	2
team	2
unclogging	1
speculation	1
prevent	17
sign	8
bulldozed	1
Beshear	1
educate	5
essence	1
celebrated	1
current	1
scrimped	1
falling	1
ground	7
boost	2
understanding	3
enriches	1
Ms	1
Mr	15
alone	12
along	4
My	16
funded	1
ineffective	1
studies	1
influx	1
nowhere	1
tasks	1
love	14
prefer	2
betraying	1
fake	1
August	1
working	49
angry	1
by	192
imaginations	1
wondering	1
scope	2
Those	10
afford	29
everywhere	5
virtue	1
easiest	1
behalf	3
honey	1
anything	8
Pope	2
originally	1
pretend	1
Locks	1
printing	1
values	30
believed	6
Our	45
allowed	11
divided	2
Who	1
divides	1
taxpayerfunded	1
laundry	1
spot	1
applications	1
improving	2
such	10
revealed	1
stress	1
natural	13
sectors	1
st	14
so	94
forebears	1
tutoring	1
insurgency	1
unacceptable	1
years	164
hiring	3
yearn	1
splurge	1
Verizon	1
torn	1
amazing	3
suspicion	1
bipartisan	22
decades	21
recipients	1
civilian	2
matches	1
smarter	6
nation	69
retrain	2
records	2
drilling	3
sorted	1
reckoning	1
twilight	1
cop	1
establishing	1
Grants	1
rundown	1
instability	1
personalizing	1
quarter	5
crushing	2
breakthrough	2
entering	2
Michigan	2
Welcome	1
abide	1
Job	1
protections	4
Joe	5
suggesting	1
million	44
incentives	11
governing	1
loyalty	1
complicated	4
training	22
wrong	7
massive	8
routes	1
neglect	1
Brazil	1
saving	5
one	126
vote	32
open	18
city	4
harnesses	1
bite	1
encourages	4
stifled	1
proving	2
TransPacific	2
History	1
Seven	1
rival	2
crossroads	1
rehab	1
future	77
Businesses	2
addressing	3
illness	2
turned	5
argument	2
say	25
buried	1
saw	11
sat	2
Jewish	2
warriors	2
aside	5
take	64
Half	1
destroy	2
tractorsgrocery	1
Getting	1
candidly	1
knew	7
firstclass	2
average	7
farmers	4
drive	5
defeating	1
federal	22
laws	14
walking	2
surplus	2
commitments	3
bright	1
Systems	1
neighborsI	1
aggressive	1
slow	4
tears	1
Leadership	1
congressional	2
dispute	1
assistant	1
Romneys	1
recruiters	1
Twentyfirst	3
scorekeeper	1
resource	2
bestselling	1
worried	1
surgeries	1
vision	6
driveways	1
revitalizing	1
surgery	2
That	41
vaccines	1
forsake	1
jobs	174
concentrate	1
spark	1
undermine	1
energyefficiency	1
concentrated	1
many	57
flipped	1
deduction	2
s	6
workplace	2
expression	1
jobI	1
allowance	1
handouts	1
Team	2
math	10
caring	1
stretch	2
fiveyear	1
combined	2
Cleareyed	1
wants	10
influence	6
thousand	8
formed	2
rooftops	1
former	1
pettiness	1
polls	1
endures	2
policies	7
squeezed	1
curricula	1
endured	2
threequarters	2
fastchanging	1
engaged	1
Looking	1
technology	22
fame	1
PreK	1
threatens	3
surveillance	2
I	441
boosted	2
structurally	1
cheers	1
IRA	1
recapture	1
Pattons	1
reenergized	1
costs	25
trains	3
Milwaukee	1
summer	4
being	22
rest	17
safeguards	2
summed	1
occasional	1
bricks	1
formative	1
Guantanamo	3
topdown	1
skies	1
Andrews	1
around	25
Aung	1
rejoin	2
sums	1
dark	1
traffic	1
preference	1
world	103
dare	1
obstruct	1
explaining	1
Brandon	5
scholarships	1
memories	1
corrosive	2
restoring	2
accessing	1
scientific	2
power	45
industrialized	1
leadership	28
Revolution	1
package	1
industry	24
favorite	1
neighbor	2
act	19
mean	8
moonshot	1
fundraising	1
burning	1
No	29
parties	21
accumulated	1
dawned	1
her	39
hes	8
betrays	1
sides	3
Peninsula	4
bubble	3
complete	6
institutions	6
Schools	1
billionaires	1
Small	2
technologies	7
with	306
buying	2
pull	7
Rodriguez	1
House	14
abuses	1
trips	1
gone	7
citizenship	4
certain	9
am	17
al	20
wartime	1
an	123
How	9
as	228
at	131
walks	2
watched	1
dawn	1
Real	2
vocational	1
graduate	8
tight	1
Atlantic	1
Lady	3
waving	1
Bighearted	1
Point	1
Street	15
mass	1
Wages	1
legislatures	1
consider	3
caused	1
code	14
Fig	1
fairness	3
causes	3
to	1796
highquality	7
th	6
Fortythree	1
paying	13
returned	2
detention	2
labor	6
condition	3
cable	1
laying	4
joined	3
large	3
small	41
sank	1
quicker	1
penalties	2
past	29
pass	24
Join	1
investment	15
quicken	1
higherpaying	1
clock	2
disruptions	2
prevailed	1
Ferguson	1
scientists	8
Cape	1
nurse	2
full	15
hours	3
musthave	1
civilians	7
hast	1
experience	4
prior	1
healthier	3
skyrocket	1
pick	2
action	20
skepticism	1
followed	2
Abess	1
cynics	2
Russian	1
more	307
teen	2
Financing	1
door	3
Philippines	1
waterways	1
tested	2
foundations	2
keeping	3
science	21
installing	1
sent	17
evolved	1
learn	6
Your	1
accept	5
states	28
fiercely	2
sense	18
gallon	2
condemn	1
huge	4
respective	1
earnings	2
plant	3
plans	3
mapping	1
waver	1
waves	2
refuse	3
fundamental	3
nucleararmed	2
Putins	1
trade	17
attitude	1
paper	1
signs	1
turbine	2
its	116
rapidly	1
deeds	1
Transatlantic	1
ally	1
colleague	1
tyrants	1
entire	6
propose	3
consign	1
SimpsonBowles	1
Ritterby	1
always	26
truths	1
yearns	1
courses	2
Thanks	5
found	6
investigators	1
status	6
reduce	23
operation	1
really	4
try	11
missed	1
mattered	1
research	26
plotting	2
salute	2
belief	4
risen	1
drifting	1
outbuild	1
imagine	1
rises	1
II	4
owners	6
testament	1
major	7
rooted	2
slipped	1
number	12
sequester	1
protectionism	1
guess	2
heads	2
leverage	2
jet	1
Elkhart	1
swipe	1
threatening	1
Regulators	1
erupted	1
relationship	2
immediate	3
typhoon	1
stairs	2
determined	7
marriage	3
Cordray	1
sell	8
Food	1
self	1
jeopardize	3
reliance	1
also	86
play	10
swiftly	1
affordability	1
unused	1
plan	43
Google	3
Capitol	2
seize	4
sometimes	2
doubts	2
dragged	2
gold	1
expressed	1
freight	1
selfhealing	1
impact	6
Muslim	2
failed	3
Base	1
loved	3
dependent	1
resent	1
preparing	2
devising	1
Help	1
set	31
For	31
carrying	1
startup	1
see	43
migration	1
Founders	1
outward	1
movie	1
currently	1
pickup	1
thrive	1
knowing	6
candor	1
hardship	4
targeted	2
Florida	1
Against	1
untouched	2
empowering	1
prospects	1
improved	1
barely	4
longestserving	1
connection	1
let	26
whole	5
load	1
Teddy	1
acted	4
allegiance	1
community	32
coincidence	1
church	1
supercomputers	1
belt	1
roofing	2
carpetbomb	1
Macs	1
monthly	4
acceptance	1
unpatriotic	1
Care	3
firm	2
fire	2
fund	6
races	1
representative	1
towns	7
Starting	2
uncertain	3
judicial	1
reliable	1
expanded	2
budget	33
admire	1
receive	10
electionyear	1
budged	2
triple	1
elevated	1
shorter	1
rules	25
virtually	1
affairs	2
flooded	1
comprehensive	11
Immigrants	1
levels	2
Raleigh	2
necessity	1
basest	1
concrete	2
eager	5
parents	19
homeland	1
On	10
doors	4
emergency	2
demands	6
Of	13
couple	1
wives	1
oneyear	1
suffering	2
entrenched	2
Or	6
projects	12
antiSemitism	1
imposed	1
relied	1
consensus	1
individuals	2
tribes	1
spring	4
bounce	2
sight	1
broadband	3
religion	3
efficiencies	1
Overwhelming	1
temple	1
be	205
Look	5
agreement	10
shale	2
UPS	1
Sanchez	1
deserved	1
deserves	9
repair	3
terrorists	19
into	59
controversies	1
primarily	1
repaid	1
contributor	1
spending	23
exposed	1
bargaining	1
submit	3
occupy	1
opens	2
blueprint	3
assisting	2
deductions	2
link	1
episode	1
line	12
nationbuilding	1
doubling	6
refinancing	3
Office	1
Africa	8
up	109
us	185
medical	8
boomers	1
defined	1
lowincome	4
unraveling	2
unsafe	1
fixing	5
uranium	2
preventing	3
outsourced	1
scapegoat	1
elements	3
prosecution	1
meals	1
ago	33
worsened	2
land	2
rescued	4
walked	2
summit	1
came	8
enrolled	2
fresh	1
having	4
modernizing	1
guessing	1
broaden	1
Jim	1
results	4
astronauts	1
existing	1
highways	2
baby	2
legal	4
broader	2
centers	2
young	37
send	19
resources	11
torture	3
acrosstheboard	1
continued	4
marry	1
fewer	8
anxious	1
race	13
obesity	2
pledge	2
Spending	1
recruitment	1
video	2
graduating	2
Kentuckys	1
Alan	2
flowing	2
firms	2
proliferation	1
led	8
leg	2
gathered	1
poverty	13
invented	2
fifteen	1
great	29
engage	3
technical	1
involved	1
Energy	2
defeat	5
residents	1
bookkeeping	1
makes	22
thats	59
Leading	1
ninth	1
tools	6
standing	10
confidence	12
illegal	4
next	68
eleven	1
assuring	1
doubt	8
NATO	3
Fiftyone	1
federally	2
Growing	1
charity	1
Madam	1
this	399
challenge	14
insists	1
drill	1
fulfill	1
wedge	1
weaker	2
Police	1
process	10
high	31
slip	1
opposing	1
Christmas	1
weaken	4
educational	3
destroying	1
delay	3
aspiring	1
Ryan	1
halted	2
weighed	1
demonstrating	1
jumpstart	1
realized	1
Apple	2
counter	2
Community	1
element	1
writ	1
allow	10
volunteers	1
move	19
doubtful	1
produced	2
perfect	2
Voting	2
chosen	1
Cabinet	2
meantime	2
degrees	2
stalled	1
highpaying	2
prosper	2
outlined	3
disrupted	1
Social	11
realize	2
San	1
merge	1
Say	2
truth	7
rising	9
doing	21
society	3
books	1
Treasury	1
outeducate	1
tenth	1
dominated	2
waters	2
shut	4
surely	10
tied	1
shun	1
spill	3
could	39
scene	1
ties	2
owner	7
blows	3
legislative	1
Iran	19
system	41
Iraq	20
painful	4
interests	9
enforcement	4
stars	1
gotcha	1
Roosevelt	2
Premiums	1
anyones	1
Democratic	7
haven	2
steel	1
warfare	1
malpractice	1
briefing	1
false	2
partnership	6
reassuring	1
tonight	80
defending	1
One	11
clearly	2
necessities	1
documents	1
dishes	1
mills	1
chief	1
antifraud	1
toughest	1
device	1
reignite	2
stronger	22
enlist	1
fiasco	1
wounded	2
fact	25
DeMars	1
Paris	1
Rangers	1
trivial	2
brink	1
decade	25
principal	4
pause	1
Meanwhile	5
should	104
entities	1
planted	2
tape	6
secretaries	1
hope	11
meant	5
Applause	519
means	26
welloff	1
Keep	1
exchanges	1
NOAA	1
shaping	1
discourage	1
Because	25
taxes	26
summon	2
extremists	2
rein	4
strengthened	4
PR	1
extend	4
nuclear	26
partisan	2
Republican	16
youll	6
PM	4
ends	8
strides	3
seaboard	1
restrictions	2
figured	1
deficits	11
drug	3
Her	1
Guinea	1
revamp	1
Hed	1
acres	2
Get	1
trajectory	2
hottest	1
waste	6
Expand	1
commutes	1
crisscross	1
realworld	1
theyve	13
laser	1
Presidents	2
expiration	1
rigged	4
discoveries	3
ripe	1
delaying	1
site	1
optimistic	1
sits	2
terrorist	8
digging	1
nextgeneration	1
terrorism	3
Medical	1
drink	1
upon	4
Jackies	1
identity	1
diabetes	1
off	31
Syrian	3
patterns	1
drawing	2
newest	1
restructure	1
less	21
moments	3
generous	1
transparent	2
combine	1
crack	2
Unfortunately	1
government	69
increases	1
five	16
desk	6
Creek	1
become	10
grids	1
ballot	2
recognition	2
contested	1
avoid	4
salaries	1
does	26
passion	2
forgiven	2
blowing	1
schedule	1
pressure	4
posterity	1
loans	16
stage	2
gained	3
firsttime	1
puts	3
seeds	1
Shelley	1
executives	1
alliance	2
letters	1
commitment	21
included	1
theyd	1
roads	7
workstudy	1
mere	1
stocks	1
justifying	1
spots	1
bump	1
frustration	1
function	1
building	20
Well	23
overlapping	1
construction	11
delivers	1
applause	26
count	2
places	13
official	2
placed	2
convince	1
nominations	1
rightly	1
nurses	2
recognize	9
contribute	4
rubble	3
Nate	1
compared	1
Yesterday	1
Understand	2
details	2
reckless	2
repeat	6
bailing	1
class	12
dismantle	1
chance	37
repeal	2
South	10
inspiration	2
Corps	1
rule	5
compete	9
pension	1
rural	7
Sadly	1
saves	1
all	176
oldest	1
saved	3
votes	3
Ranger	1
voted	1
worth	9
League	1
educators	1
Iranian	1
begrudge	1
exporters	2
Economists	1
relentlessly	1
announced	2
deadline	1
reinvent	2
clocked	1
revolutionize	1
above	1
Sally	1
told	20
protection	1
pursuit	2
stresses	1
Shed	2
daughter	1
employees	11
envoy	1
anchor	1
Home	3
secure	16
servicemen	1
paperthin	1
highly	1
regulatory	1
Health	2
total	2
plot	1
Star	1
gloss	1
insult	1
apprenticeships	2
separated	1
separates	1
striving	4
word	6
permits	1
work	155
Initiative	2
era	7
mechanic	1
cited	1
Hurricane	1
recovery	18
provide	9
verify	1
recovers	1
cures	1
ordinary	4
offshore	3
pizza	1
fever	1
doubledown	1
after	34
lab	1
customs	1
Will	4
lay	11
law	33
meaningful	6
retail	1
homeowners	5
appreciate	2
Trust	1
order	8
office	26
innovative	3
mayor	1
somewhere	3
production	7
Raising	1
then	19
them	102
affected	2
bans	1
safe	18
break	9
bang	1
they	176
bank	7
Control	1
Citizenship	3
classified	1
backgrounds	2
worldclass	3
rocks	1
reasonable	1
lifted	1
VA	2
dumping	1
crimes	1
network	2
forty	1
medicine	2
disagreements	2
veto	7
standard	2
campaigns	1
disputes	1
vets	2
deceptive	1
created	19
September	1
National	3
creates	5
renew	2
oppose	1
Depression	1
daunting	1
ISILs	2
railroads	1
another	34
drones	2
thick	1
electronic	2
rated	1
rejects	1
plentiful	1
rates	15
B	2
grandchildren	1
rejected	1
wastes	1
wasted	2
policymaking	1
hike	1
powers	1
failing	2
Hadiyas	1
manner	1
Instead	9
forced	3
strength	17
Christian	1
materials	5
luxury	2
forces	16
middleclass	18
extending	1
Latin	1
Conrad	1
neighborhoods	1
yours	1
enshrined	2
Election	1
Institutes	1
left	12
responded	1
reserve	1
Ridge	1
rancorous	1
religions	1
European	2
ninetyeight	1
Republicans	34
predecessor	1
do	193
Level	1
Soviet	1
covering	1
steal	3
secretary	3
triumphed	1
drugresistant	1
checks	3
depends	11
Energetx	1
frontline	1
draws	1
Comprehensive	1
away	32
afloat	1
unable	2
cooperation	6
drawn	2
misguided	2
we	773
handful	2
admirals	1
foes	1
climate	17
ill	1
Navy	1
requests	2
peacefully	2
widen	1
Rebuild	1
speak	17
gratitude	1
petty	1
equations	1
Hillary	1
flexible	1
dozens	1
duties	1
families	82
innocent	3
Vice	13
Jews	1
physician	1
harms	1
ahead	23
air	7
Hook	1
Cleveland	1
aid	3
voice	5
launched	8
mistake	1
sticker	1
CVS	1
Rubio	1
Around	1
patent	1
workingclass	1
avoids	1
convictions	1
wheel	1
independent	3
raid	1
Institute	1
rail	3
evil	1
hand	10
liberties	1
kept	6
relitigating	1
contact	1
the	2275
camps	1
Randolph	1
unified	3
Chrysler	1
thanks	6
victim	1
adding	5
poses	2
hills	1
Gas	1
Hundreds	1
countrys	3
spread	8
transformed	1
board	1
nicetohave	1
openings	3
Tampa	1
disadvantage	1
theyre	22
night	5
security	47
Profitable	1
honored	1
sends	1
born	3
confusing	2
denies	1
cede	1
humor	1
asking	16
Let	14
denied	7
participation	1
pose	5
graduates	6
post	2
rallying	1
theirs	2
months	17
banker	1
horizon	1
cherish	1
shared	7
pays	6
Make	1
bound	2
balances	1
balanced	2
stumble	1
legislation	11
sovereign	1
fight	16
way	58
innovators	1
was	86
war	32
lowest	4
overjoyed	1
becoming	2
Thirtyseven	1
somehow	2
garages	1
true	13
Left	2
reset	1
responding	1
maximum	1
generosity	3
anew	3
Fairness	1
promises	5
hotter	2
request	1
evidence	3
saltwater	1
promised	5
face	20
physical	1
weakened	5
stake	7
reality	3
interested	4
holding	3
test	4
unwilling	1
shrink	2
brothers	5
welcome	1
update	1
scores	1
Doha	1
Mission	1
together	57
gutting	1
concept	1
diplomacy	14
global	20
Republic	1
grateful	3
battle	1
superpower	2
certainly	3
terror	2
division	3
Tech	2
trouble	1
Galesburg	1
responders	1
aggressively	4
Just	8
bring	26
turns	3
fragile	1
gun	7
gut	2
George	3
revolution	2
verifiable	1
discover	1
cost	24
Slowly	1
assistance	5
Ford	3
peels	1
Imagine	3
During	2
Along	2
appeal	1
supporting	8
burn	1
explosion	1
Libya	1
inauguration	1
Youngstown	2
demonizing	1
English	2
roaring	2
teacher	11
change	60
buck	1
trial	1
usually	1
regardless	3
extra	3
lending	12
rarely	2
market	26
remaking	1
prove	2
live	22
Jill	7
F	3
envelope	1
organizations	1
slogan	1
car	5
cap	2
mayors	2
hardest	2
can	216
Speaker	14
Throughout	2
expanding	6
subsidies	4
heard	6
Pizza	1
productive	3
bankrupt	1
discussion	2
bonds	1
giveaways	2
write	8
ROTC	1
firmly	2
economy	114
Always	1
sacrifice	9
produce	6
heroes	3
lifting	3
remember	9
whenever	1
futures	1
prosthetics	1
offend	1
typical	1
serving	4
Recovery	7
foreclosure	1
Hezbollah	1
wildfires	2
brain	3
managers	1
cold	1
still	56
ethic	2
acknowledge	1
selves	1
birthdays	1
forms	2
window	1
Provocations	1
Grace	1
halt	2
wealthy	2
not	238
now	104
nor	3
wont	22
drop	2
cashstrapped	1
directing	2
challenges	20
supplant	1
year	135
happen	19
avoided	1
Carolina	6
shown	1
Latino	4
opened	6
space	7
lawyers	2
looking	10
rational	1
goodpaying	3
cyberthreats	1
viable	1
shows	5
rebuilding	12
defenses	2
cars	12
tightening	1
obligation	1
inevitable	2
card	4
care	68
transition	8
honest	6
promotion	3
entrusted	1
Even	3
benefited	2
occupations	1
There	18
Asia	11
yourself	2
directly	5
Medicine	1
impossible	1
message	6
drove	2
tomorrow	12
size	4
sheer	1
waned	1
caught	1
households	3
national	22
friend	4
mostly	2
that	995
eliminated	3
than	160
professionals	3
recruit	3
optimism	3
contentious	4
investors	1
Orrin	1
Philadelphia	1
slam	1
parentteacher	1
anger	1
Main	4
offering	3
veteran	4
manufacturers	7
equipment	5
online	6
objective	1
begin	19
price	6
copouts	1
importantly	1
destiny	6
flawlessly	1
dream	11
steady	1
hemisphere	2
Fifty	1
Web	1
Afghanistan	23
fifty	1
teamed	1
realizing	2
aint	1
upgrade	4
Worse	1
title	1
Kansas	1
proportion	3
deployments	1
rapidlychanging	1
only	56
enriched	1
Solar	1
inventions	1
truly	5
cannot	24
Instagram	1
held	5
Allen	3
inside	3
husband	1
burst	1
famine	1
elected	9
actively	1
concern	5
tackling	1
Berlin	2
Members	5
between	20
import	1
notice	1
Johnson	1
Tear	1
recedes	1
Lieberman	1
blame	4
Burmese	1
Were	25
talented	2
Give	3
Through	3
newfound	1
comes	19
nearby	1
hybrids	1
learning	6
postpartisan	1
proved	2
Midwest	2
punishes	1
rebuild	7
informed	1
Paid	1
HIVAIDS	2
dictator	1
dangers	2
partisanship	2
rebuilt	2
subjecting	1
wounds	1
textbook	1
realities	1
countless	3
developing	5
these	97
wealthiest	9
Reagan	3
Scorecard	1
orientation	1
anxieties	2
embrace	2
return	9
worry	2
fulfilled	2
Israel	4
develop	7
media	1
quagmire	1
Sixty	1
document	1
finish	9
centuries	3
closest	1
McCain	1
tradition	1
Joining	2
severe	3
congressmen	1
laboratories	1
charged	3
valuable	1
sweeping	1
maternity	1
touch	1
speed	6
renewed	5
thinking	5
senseless	1
improvement	2
lender	2
treatment	4
versa	1
momentum	2
real	13
read	5
ribboncuttings	1
early	6
outsource	1
listening	1
jobcreating	2
using	4
collective	3
benefit	2
dirtier	2
Before	2
twelve	1
apartments	1
tragedies	1
Greensburg	1
Mars	1
passions	2
conservative	3
deficit	49
Chilean	1
assembly	5
business	60
equivalent	1
strained	1
tuition	10
credits	4
assemble	1
central	1
Gitmo	2
ideology	2
boldly	2
escalating	1
underway	1
youd	4
persecution	1
watchdog	2
shrinking	3
your	56
prepare	7
area	2
removing	2
stark	1
start	25
low	3
lot	19
trying	15
hire	17
fraud	5
builders	2
beliefs	2
naysayers	1
describe	1
moved	4
moves	2
Veterans	2
credibility	2
Second	6
readytowork	1
you	198
forcing	1
poor	3
Great	4
coverage	15
fiscal	6
mourned	1
Executive	1
bystander	1
repay	1
stockpile	3
restored	2
overseas	11
strings	1
tomorrows	2
pointing	1
month	11
upholds	1
Take	5
messy	3
religious	1
broadbased	2
pledged	2
sustain	4
twothirds	1
homes	13
very	15
decide	3
deficient	1
reaffirming	1
study	5
streets	7
nearing	1
conscience	1
Korea	10
darkness	2
consumers	6
witnessed	1
investing	6
boardrooms	1
learned	6
multinational	1
turmoil	1
answers	2
gridlocked	1
tracks	1
excess	1
grudges	1
strong	30
outcompete	1
conviction	1
hampering	1
inspired	2
reason	15
soldier	2
amount	3
base	2
arent	17
inspires	1
Victor	1
uniquely	1
Independents	1
family	26
partnering	3
requiring	2
ask	23
trained	5
conventional	1
flaws	1
takes	11
FCC	1
taken	11
PRESIDENT	5
lowering	3
Bless	2
excuse	2
So	97
broke	3
factories	9
producing	1
helped	17
offender	1
veterans	17
coalition	7
nine	3
budgets	2
reshaping	2
history	22
IBM	1
pushed	3
Interstate	2
gaffes	1
stayed	1
reject	4
tries	1
Syria	7
a	1065
Mexico	1
overnight	4
anytime	1
bashing	1
banks	22
egg	2
remnants	2
help	96
soon	12
Illinois	2
reclaim	1
committed	7
hardesthit	1
taxpayer	8
solving	2
actually	5
absence	1
systems	4
founders	1
Oklahoma	1
motivated	1
food	5
foot	1
imprisoned	1
fully	6
bless	15
stopped	6
Stamp	1
predatory	1
barrels	1
Afghans	2
positioned	3
inspections	2
beyond	12
event	2
since	25
publish	1
safety	4
issue	21
Town	1
None	4
earns	4
labs	3
houses	2
Tucson	5
heroin	1
brightest	1
put	54
earliest	2
heroic	2
revolutionary	1
launch	7
Boston	3
terrible	1
cheering	1
automobile	1
partnerships	6
arsenal	1
guaranteeing	1
station	1
expand	11
hundred	3
selling	3
passed	18
trapped	4
authors	1
financing	4
grew	3
finances	2
recovered	2
toward	2
newborns	1
wasnt	6
God	17
substantial	1
comrades	2
hardestworking	2
vulnerable	6
lie	3
stranglehold	1
officers	6
lit	1
lip	1
With	15
towards	5
Kentucky	1
hired	1
The	109
approved	2
Bridge	1
loopholes	10
mobile	1
clear	12
Johns	2
clean	37
Springs	1
SEALs	1
stores	1
justice	9
destabilize	1
pretty	2
Michelle	8
meanwhile	1
While	2
Medicare	16
pretending	1
during	4
Francis	2
sacrificed	2
recommendations	1
hype	1
Fourth	1
culture	1
protecting	4
close	14
Neither	3
jobready	1
pictures	1
won	2
probably	4
Costco	1
conditions	4
unstoppable	1
readying	1
both	29
secrets	2
minorities	1
Steve	2
liked	1
hackers	1
battery	1
Panama	3
address	11
whatever	7
unfolded	1
War	7
stamp	3
Bethea	1
Most	9
describes	2
California	4
collected	1
preventable	1
territory	1
empty	3
Women	1
lived	2
Allies	1
PTech	1
Superstorm	1
deter	1
determination	5
coalitions	3
Dont	4
governor	1
pace	5
while	35
reformed	2
endanger	1
guide	2
costly	6
voters	1
wherever	4
ready	6
increased	8
Weve	17
anymore	1
grant	2
organs	1
belong	2
shuttered	2
conflict	4
used	13
temporary	1
dime	6
bonus	1
uses	1
decency	6
Approve	1
skyrocketing	2
older	1
yearlong	1
Giffords	2
quarters	1
Internet	13
startups	2
praying	1
CommanderinChief	3
retirement	16
guaranteed	1
guarantees	3
remaining	2
march	2
showing	4
game	5
vests	1
pillar	1
strife	1
popular	2
saddled	1
Little	1
parade	1
brakes	1
fathers	2
creation	5
some	79
Plains	1
trends	4
economic	30
fanfare	2
delivered	3
Pittsburgh	1
Moscow	1
slash	2
Apollo	1
Federallyfunded	1
run	7
resolve	6
Bill	2
rebates	1
step	12
plots	3
abroad	14
wealth	3
shine	1
faith	13
wouldnt	3
yearold	2
congressman	1
seeing	4
within	14
Their	7
statistics	1
computer	5
renewal	2
accountability	1
manufacture	3
himself	1
collapsed	2
servicemembers	1
properly	1
authority	6
newer	1
sick	12
hardhit	1
ordered	5
adults	1
mindful	2
To	31
Edward	1
Above	1
TV	5
fears	5
application	2
politicians	4
genome	2
department	1
highpowered	1
draw	2
reportedly	1
regulations	10
required	6
turbines	1
orbit	1
An	6
As	38
At	13
Soviets	2
requires	4
degrade	1
